param,symbols,test_final_equity,test_max_drawdown,test_num_trades,test_profit_factor,test_total_return,test_win_rate,train_final_equity,train_max_drawdown,train_num_trades,train_profit_factor,train_total_return,train_win_rate,val_final_equity,val_max_drawdown,val_num_trades,val_profit_factor,val_total_return,val_win_rate,value
threshold,,11961.449122319103,-0.240156451196005,27,1.2688674335247365,0.19614491223191033,0.4074074074074074,9518.628393788887,-0.3564172483828434,90,0.6405661512758416,-0.048137160621111286,0.25555555555555554,9868.553286124199,-0.08666974620967283,16,0.4425734173798377,-0.013144671387580131,0.1875,0.4
threshold,,10036.851412878299,-0.18191663407022543,12,1.240450123377144,0.0036851412878298184,0.4166666666666667,9810.588488814814,-0.357057505101203,57,0.7838569479570537,-0.018941151118518573,0.2982456140350877,9955.512495123068,-0.0059842744438585215,5,0.45220922713542716,-0.0044487504876932205,0.2,0.45
threshold,,9969.448098048399,-0.09032934511411433,4,0.5629707545800301,-0.0030551901951600957,0.25,9747.054728397432,-0.33569081669143974,29,0.5148465235336355,-0.02529452716025682,0.20689655172413793,9978.580585535765,-0.002740089547325759,1,0.0,-0.0021419414464235453,0.0,0.5
threshold,,9952.269844378257,-0.0053426114691048346,2,0.0,-0.004773015562174243,0.0,9800.492335290037,-0.27216491843781326,14,0.31696538502065835,-0.01995076647099636,0.14285714285714285,10000.0,0.0,0,0.0,0.0,0.0,0.55
threshold,,10000.0,0.0,0,0.0,0.0,0.0,9893.815044344106,-0.20519732627630105,4,0.0,-0.010618495565589359,0.0,10000.0,0.0,0,0.0,0.0,0.0,0.6
threshold,,10000.0,0.0,0,0.0,0.0,0.0,9944.91503789481,-0.12254673084311762,2,0.0,-0.005508496210518965,0.0,10000.0,0.0,0,0.0,0.0,0.0,0.65
threshold,,10000.0,0.0,0,0.0,0.0,0.0,10000.0,0.0,0,0.0,0.0,0.0,10000.0,0.0,0,0.0,0.0,0.0,0.7
sl_tp,,11923.769606119457,-0.2396807867832198,151,1.0784785780034096,0.19237696061194565,0.3841059602649007,9521.587447527807,-0.37783888637156404,380,0.757175036371567,-0.04784125524721927,0.3,9701.576926294414,-0.20370276337924031,142,0.5735157968564016,-0.029842307370558596,0.24647887323943662,1/2
sl_tp,,13450.0361945893,-0.31400531358732325,112,0.9578911963429164,0.3450036194589301,0.3482142857142857,9508.292326969144,-0.4247992658205298,293,0.785088877575142,-0.04917076730308567,0.29692832764505117,9655.930253904755,-0.2375061351912505,110,0.5687709870396412,-0.034406974609524466,0.23636363636363636,2/3
sl_tp,,15233.3636522361,-0.31543425781556234,85,1.3332447981941309,0.52333636522361,0.4117647058823529,9658.370410979485,-0.40638896839190697,246,0.8695650054364833,-0.034162958902051455,0.3170731707317073,9485.93735743313,-0.3056949949270987,89,0.4354843632687747,-0.05140626425668704,0.1797752808988764,2/4
sl_tp,,17189.808766268736,-0.3638099179230419,54,1.276740008962455,0.7189808766268735,0.3888888888888889,10381.744265767482,-0.47500748341277793,181,0.7139361444479148,0.0381744265767483,0.27624309392265195,9421.10937046895,-0.30913902098412843,56,0.3532881395623433,-0.05788906295310503,0.16071428571428573,3/6
universe_size,"['BTC', 'ETH', 'SOL']",12492.327967663527,-0.14758385845786864,14,2.1790526140453914,0.24923279676635257,0.5,9959.408565266,-0.21936251859371203,89,0.9550673705987989,-0.004059143473400084,0.34831460674157305,9834.355261156796,-0.1498688666893178,23,0.3109263951616712,-0.016564473884320474,0.13043478260869565,3
universe_size,"['BTC', 'ETH', 'SOL', 'ARB', 'AVAX']",13821.405444037677,-0.2121013771543683,52,1.7973273575566473,0.38214054440376777,0.46153846153846156,9830.700389916985,-0.28025740933231913,153,0.8898488857225435,-0.016929961008301464,0.3333333333333333,9814.770500930146,-0.19878718493130165,49,0.610519512318191,-0.01852294990698533,0.22448979591836735,5
universe_size,"['BTC', 'ETH', 'SOL', 'ARB', 'AVAX', 'DOGE', 'LINK', 'OP']",15233.3636522361,-0.31543425781556234,85,1.3332447981941309,0.52333636522361,0.4117647058823529,9658.370410979485,-0.40638896839190697,246,0.8695650054364833,-0.034162958902051455,0.3170731707317073,9485.93735743313,-0.3056949949270987,89,0.4354843632687747,-0.05140626425668704,0.1797752808988764,8
