symbol,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl_gross,pnl_net,fees_total,bars_held,exit_reason
BTC,buy,2026-04-27 01:00:00+00:00,79211.22813023726,2026-04-27 05:00:00+00:00,77623.87160400105,0.009319925375048149,-14.794044368117135,-15.305636053423145,0.5115916853060107,103,stop_loss
ETH,buy,2026-04-26 19:00:00+00:00,2360.5956098595652,2026-04-27 06:00:00+00:00,2313.290936073402,0.3088949641615522,-14.612175513850806,-15.117484211900445,0.5053086980496387,110,stop_loss
ETH,sell,2026-04-27 16:00:00+00:00,2273.3129190215845,2026-04-29 04:00:00+00:00,2318.868878674551,0.2868378872054809,-13.06717521647505,-13.5281990569953,0.46102384052024914,135,stop_loss
AVAX,sell,2026-04-27 07:00:00+00:00,9.239504415181303,2026-04-29 10:00:00+00:00,9.424701988819882,88.16473399991892,-16.327894817275705,-16.903828127578578,0.5759333103028741,150,stop_loss
ARB,buy,2026-04-29 11:00:00+00:00,0.13225415889638706,2026-04-29 12:00:00+00:00,0.1296050407727099,3323.430805542037,-8.804160779748386,-9.108755461382108,0.3045946816337224,100,stop_loss
ARB,sell,2026-04-29 19:00:00+00:00,0.12358626987254277,2026-04-30 00:00:00+00:00,0.12606183768498133,3275.78076685483,-8.109417427031115,-8.395644662517373,0.2862272354862587,104,stop_loss
ETH,sell,2026-04-29 19:00:00+00:00,2238.6300449349433,2026-05-01 03:00:00+00:00,2283.4747066314185,0.19385103036011966,-8.693183876012712,-8.999998866063889,0.3068149900511762,131,stop_loss
BTC,sell,2026-04-27 16:00:00+00:00,76762.05634382318,2026-05-01 13:00:00+00:00,78300.32970222851,0.008513377356296493,-13.095901577242138,-13.557937925477965,0.4620363482358279,192,stop_loss
ARB,buy,2026-05-01 14:00:00+00:00,0.12707304930864444,2026-05-01 16:00:00+00:00,0.12452862992766789,2014.1469916124838,-5.124834641594413,-5.302201545366033,0.17736690377162004,101,stop_loss
AVAX,buy,2026-05-01 14:00:00+00:00,9.24472187554375,2026-05-01 23:00:00+00:00,9.059612177612921,27.694024430235654,-5.126432496769905,-5.303854668706675,0.17742217193677035,108,stop_loss
SOL,sell,2026-04-27 16:00:00+00:00,84.11276010058087,2026-05-04 04:00:00+00:00,85.79835269054243,7.838711862993573,-13.212874631105729,-13.679033853062728,0.46615922195699994,255,stop_loss
ARB,sell,2026-05-03 12:00:00+00:00,0.11789713326689126,2026-05-04 04:00:00+00:00,0.12025802898820995,2228.69475556936,-5.261715912549099,-5.447487151608932,0.1857712390598336,115,stop_loss
BTC,buy,2026-05-01 14:00:00+00:00,78685.92217874617,2026-05-06 08:00:00+00:00,81831.32033598925,0.0033708989555173196,10.602819362936795,10.413438633630626,0.18938072930616962,213,take_profit
SOL,buy,2026-05-05 14:00:00+00:00,85.58258237307929,2026-05-06 08:00:00+00:00,89.00420736280485,1.7754284824724458,6.074850463098246,5.96636217777985,0.10848828531839619,117,take_profit
ETH,buy,2026-05-02 23:00:00+00:00,2326.2540196744167,2026-05-06 11:00:00+00:00,2419.2468854118833,0.10303392691654441,9.581420132154168,9.410288356335032,0.1711317758191353,183,take_profit
ARB,buy,2026-05-06 13:00:00+00:00,0.12572235091735953,2026-05-06 13:00:00+00:00,0.12320562309137771,1236.1725359244058,-3.1111098188754642,-3.2188110622542805,0.1077012433788161,350,stop_loss
ARB,buy,2026-05-08 11:00:00+00:00,0.13140246023284896,2026-05-08 15:00:00+00:00,0.136655949255617,1185.724550334997,6.229190909211474,6.117945644343175,0.11124526486829912,103,take_profit
ARB,buy,2026-05-08 16:00:00+00:00,0.13790267172593168,2026-05-08 18:00:00+00:00,0.14341594489062567,1209.7858339638674,6.669879773419933,6.55076235780966,0.11911741561027389,101,take_profit
ARB,buy,2026-05-08 19:00:00+00:00,0.14433276796721126,2026-05-09 13:00:00+00:00,0.14144342718583272,1132.5816723844955,-3.2724144142624265,-3.3856970899031618,0.11328267564073527,117,stop_loss
AVAX,buy,2026-05-08 18:00:00+00:00,9.81888460216751,2026-05-10 16:00:00+00:00,10.211444192401325,16.000335950968616,6.281085324515633,6.1689130653683675,0.11217225914726561,145,take_profit
SOL,buy,2026-05-08 18:00:00+00:00,91.65096360406615,2026-05-10 17:00:00+00:00,95.31491949056469,2.2260870101709918,8.156284604773944,8.010613698719924,0.14567090605402086,146,take_profit
AVAX,buy,2026-05-10 17:00:00+00:00,10.251204009884717,2026-05-10 20:00:00+00:00,10.045982003486202,17.172012747785427,-3.5240749100013957,-3.6460651113752336,0.12199020137383801,102,stop_loss
SOL,buy,2026-05-10 18:00:00+00:00,96.59397692431757,2026-05-10 20:00:00+00:00,94.66017941282807,1.927409936075523,-3.7272205380029857,-3.856239304668798,0.12901876666581238,101,stop_loss
ETH,buy,2026-05-10 20:00:00+00:00,2365.2444636261616,2026-05-10 20:00:00+00:00,2317.896436727923,0.0664084933029331,-3.1443111271787645,-3.253161212249822,0.10885008507105759,453,stop_loss
